1x1	11	5	29	20	14	40	24
1x1	12	15	14	34	41	46	45
1x1	12	20	19	27	4	34	35
1x1	12	34	9	5	39	26	29
1x1	12	36	16	41	7	22	42
1x1	13	46	27	4	52	19	10
1x1	13	7	2	18	54	20	15
1x1	14	22	42	28	9	60	34
1x1	14	3	4	42	46	38	28
1x1	14	49	50	29	33	7	15
1x1	15	13	54	19	49	32	12
1x1	15	58	34	11	2	55	49
1x1	16	12	20	42	21	5	54
1x1	16	17	6	56	14	49	30
1x1	16	2	52	48	5	27	51
1x1	16	44	29	60	57	39	13
1x1	16	51	35	21	14	55	39
1x1	16	51	49	38	20	55	57
1x1	16	7	29	12	42	37	40
1x1	17	47	8	57	33	28	20
1x1	17	48	39	24	43	52	27
1x1	17	49	15	42	2	4	57
1x1	17	53	6	57	12	54	52
1x1	17	7	55	21	40	48	8
1x1	18	24	50	43	14	9	23
1x1	18	43	27	16	50	60	5
1x1	19	11	17	23	60	3	54
1x1	19	11	55	37	39	21	28
1x1	19	21	16	27	25	56	37
1x1	19	3	49	21	51	46	14
1x1	19	56	58	7	45	11	3
1x1	2	3	42	39	53	24	59
1x1	2	33	4	17	22	19	58
1x1	2	4	27	25	23	5	33
1x1	2	55	32	49	47	45	44
1x1	20	51	46	17	26	37	11
1x1	20	59	25	10	50	19	52
1x1	21	34	29	30	18	32	35
1x1	21	39	51	42	12	27	32
1x1	21	57	12	19	33	3	26
1x1	22	32	24	17	49	19	47
1x1	22	48	30	12	41	14	10
1x1	23	52	42	54	58	25	55
1x1	24	3	46	56	39	28	8
1x1	24	42	59	29	11	34	32
1x1	24	44	37	22	6	36	43
1x1	24	55	22	47	40	7	10
1x1	25	30	36	55	43	31	5
1x1	25	33	41	4	45	51	3
1x1	25	37	5	11	32	51	33
1x1	25	40	24	39	47	48	55
1x1	26	14	45	15	44	39	27
1x1	26	40	13	24	59	42	39
1x1	27	20	24	57	6	51	9
1x1	27	31	15	49	14	19	55
1x1	27	32	60	30	4	9	5
1x1	27	59	29	8	44	46	20
1x1	28	16	52	22	36	14	20
1x1	28	37	56	18	22	34	2
1x1	28	37	6	43	41	38	9
1x1	28	54	16	31	51	11	3
1x1	29	19	22	33	43	52	30
1x1	29	5	23	12	41	30	10
1x1	29	5	59	30	54	38	43
1x1	29	7	27	6	31	21	12
1x1	3	19	41	4	48	31	29
1x1	3	22	26	56	15	60	44
1x1	3	57	16	44	35	20	54
1x1	3	8	17	59	52	32	51
1x1	3	8	60	58	22	31	36
1x1	30	10	35	41	47	40	50
1x1	30	17	50	22	19	51	39
1x1	30	41	50	53	22	43	15
1x1	30	45	24	2	4	5	16
1x1	30	58	29	11	39	27	21
1x1	30	58	41	3	42	28	27
1x1	31	11	7	22	30	48	58
1x1	31	32	35	40	53	39	60
1x1	31	48	28	60	27	53	15
1x1	31	60	40	2	59	38	6
1x1	32	38	44	5	31	26	49
1x1	32	53	36	56	15	21	2
1x1	34	36	43	5	53	26	41
1x1	35	2	17	49	16	26	43
1x1	35	2	19	40	37	48	6
1x1	35	28	52	14	29	48	26
1x1	35	49	45	24	32	52	46
1x1	35	57	13	40	10	18	58
1x1	36	27	40	15	47	22	43
1x1	36	28	35	29	20	3	18
1x1	36	44	21	28	16	17	58
1x1	37	27	29	7	35	30	17
1x1	37	35	41	33	23	39	24
1x1	37	41	45	10	54	13	53
1x1	37	6	35	14	21	13	56
1x1	38	26	11	37	4	8	7
1x1	38	31	39	43	41	15	18
1x1	39	13	48	60	20	33	12
